"benchID", "inFile", "func", "time"
"0", "boltzmann_large", "transmitRaw", 0.0033731460571289062
"1", "boltzmann_large", "compress", 2.758716583251953
"2", "boltzmann_large", "transmit", 0.0020017623901367188
"3", "boltzmann_large", "decompress", 1.5168342590332031
"4", "boltzmann_large", "transmitRaw", 0.0033822059631347656
"5", "boltzmann_large", "compress", 2.7491798400878906
"6", "boltzmann_large", "transmit", 0.0014417171478271484
"7", "boltzmann_large", "decompress", 1.5419502258300781
"8", "boltzmann_large", "transmitRaw", 0.00458979606628418
"9", "boltzmann_large", "compress", 2.7829158306121826
"10", "boltzmann_large", "transmit", 0.0
"11", "boltzmann_large", "decompress", 1.5149223804473877
"12", "boltzmann_large", "transmitRaw", 0.00350189208984375
"13", "boltzmann_large", "compress", 2.7452967166900635
"14", "boltzmann_large", "transmit", 0.0
"15", "boltzmann_large", "decompress", 1.469620943069458
"16", "boltzmann_large", "transmitRaw", 0.0
"17", "boltzmann_large", "compress", 2.767324447631836
"18", "boltzmann_large", "transmit", 0.0
"19", "boltzmann_large", "decompress", 1.51271653175354
"20", "boltzmann_large", "transmitRaw", 0.0
"21", "boltzmann_large", "compress", 2.922614812850952
"22", "boltzmann_large", "transmit", 0.0020008087158203125
"23", "boltzmann_large", "decompress", 1.5145649909973145
"24", "boltzmann_large", "transmitRaw", 0.0
"25", "boltzmann_large", "compress", 2.7490005493164062
"26", "boltzmann_large", "transmit", 0.0020744800567626953
"27", "boltzmann_large", "decompress", 1.490950345993042
"28", "boltzmann_large", "transmitRaw", 0.0029997825622558594
"29", "boltzmann_large", "compress", 2.7713961601257324
"30", "boltzmann_large", "transmit", 0.0019986629486083984
"31", "boltzmann_large", "decompress", 1.4920625686645508
"32", "boltzmann_large", "transmitRaw", 0.002115011215209961
"33", "boltzmann_large", "compress", 2.744260549545288
"34", "boltzmann_large", "transmit", 0.002287149429321289
"35", "boltzmann_large", "decompress", 1.5191168785095215
"36", "boltzmann_large", "transmitRaw", 0.0025568008422851562
"37", "boltzmann_large", "compress", 2.7747809886932373
"38", "boltzmann_large", "transmit", 0.0030553340911865234
"39", "boltzmann_large", "decompress", 1.5187652111053467
"40", "boltzmann_medium", "transmitRaw", 0.0
"41", "boltzmann_medium", "compress", 0.281496524810791
"42", "boltzmann_medium", "transmit", 0.0
"43", "boltzmann_medium", "decompress", 0.14549517631530762
"44", "boltzmann_medium", "transmitRaw", 0.0
"45", "boltzmann_medium", "compress", 0.2747809886932373
"46", "boltzmann_medium", "transmit", 0.0009968280792236328
"47", "boltzmann_medium", "decompress", 0.14973163604736328
"48", "boltzmann_medium", "transmitRaw", 0.0009999275207519531
"49", "boltzmann_medium", "compress", 0.27125978469848633
"50", "boltzmann_medium", "transmit", 0.0
"51", "boltzmann_medium", "decompress", 0.1552584171295166
"52", "boltzmann_medium", "transmitRaw", 0.0
"53", "boltzmann_medium", "compress", 0.27211880683898926
"54", "boltzmann_medium", "transmit", 0.0
"55", "boltzmann_medium", "decompress", 0.14995217323303223
"56", "boltzmann_medium", "transmitRaw", 0.0
"57", "boltzmann_medium", "compress", 0.2787966728210449
"58", "boltzmann_medium", "transmit", 0.0
"59", "boltzmann_medium", "decompress", 0.14868426322937012
"60", "boltzmann_medium", "transmitRaw", 0.0009999275207519531
"61", "boltzmann_medium", "compress", 0.2772529125213623
"62", "boltzmann_medium", "transmit", 0.0
"63", "boltzmann_medium", "decompress", 0.14680027961730957
"64", "boltzmann_medium", "transmitRaw", 0.0
"65", "boltzmann_medium", "compress", 0.2790505886077881
"66", "boltzmann_medium", "transmit", 0.0
"67", "boltzmann_medium", "decompress", 0.14807844161987305
"68", "boltzmann_medium", "transmitRaw", 0.0
"69", "boltzmann_medium", "compress", 0.27587246894836426
"70", "boltzmann_medium", "transmit", 0.0
"71", "boltzmann_medium", "decompress", 0.14949560165405273
"72", "boltzmann_medium", "transmitRaw", 0.0
"73", "boltzmann_medium", "compress", 0.2746248245239258
"74", "boltzmann_medium", "transmit", 0.0
"75", "boltzmann_medium", "decompress", 0.1502213478088379
"76", "boltzmann_medium", "transmitRaw", 0.0015099048614501953
"77", "boltzmann_medium", "compress", 0.27294230461120605
"78", "boltzmann_medium", "transmit", 0.0
"79", "boltzmann_medium", "decompress", 0.14946961402893066
"80", "boltzmann_small", "transmitRaw", 0.0
"81", "boltzmann_small", "compress", 0.003000497817993164
"82", "boltzmann_small", "transmit", 0.0
"83", "boltzmann_small", "decompress", 0.0015087127685546875
"84", "boltzmann_small", "transmitRaw", 0.0
"85", "boltzmann_small", "compress", 0.004360675811767578
"86", "boltzmann_small", "transmit", 0.0
"87", "boltzmann_small", "decompress", 0.0019991397857666016
"88", "boltzmann_small", "transmitRaw", 0.0
"89", "boltzmann_small", "compress", 0.0030422210693359375
"90", "boltzmann_small", "transmit", 0.0
"91", "boltzmann_small", "decompress", 0.001009225845336914
"92", "boltzmann_small", "transmitRaw", 0.0
"93", "boltzmann_small", "compress", 0.0025081634521484375
"94", "boltzmann_small", "transmit", 0.0
"95", "boltzmann_small", "decompress", 0.0
"96", "boltzmann_small", "transmitRaw", 0.0
"97", "boltzmann_small", "compress", 0.002782583236694336
"98", "boltzmann_small", "transmit", 0.0
"99", "boltzmann_small", "decompress", 0.0
"100", "boltzmann_small", "transmitRaw", 0.0
"101", "boltzmann_small", "compress", 0.0
"102", "boltzmann_small", "transmit", 0.0
"103", "boltzmann_small", "decompress", 0.0
"104", "boltzmann_small", "transmitRaw", 0.0
"105", "boltzmann_small", "compress", 0.002995014190673828
"106", "boltzmann_small", "transmit", 0.0
"107", "boltzmann_small", "decompress", 0.0026006698608398438
"108", "boltzmann_small", "transmitRaw", 0.0
"109", "boltzmann_small", "compress", 0.0025093555450439453
"110", "boltzmann_small", "transmit", 0.0
"111", "boltzmann_small", "decompress", 0.0
"112", "boltzmann_small", "transmitRaw", 0.0
"113", "boltzmann_small", "compress", 0.006773233413696289
"114", "boltzmann_small", "transmit", 0.0
"115", "boltzmann_small", "decompress", 0.0015039443969726562
"116", "boltzmann_small", "transmitRaw", 0.0
"117", "boltzmann_small", "compress", 0.0005471706390380859
"118", "boltzmann_small", "transmit", 0.0
"119", "boltzmann_small", "decompress", 0.0
"120", "boltzmann_superLarge", "transmitRaw", 0.01645970344543457
"121", "boltzmann_superLarge", "compress", 11.025305986404419
"122", "boltzmann_superLarge", "transmit", 0.007161378860473633
"123", "boltzmann_superLarge", "decompress", 6.008791208267212
"124", "boltzmann_superLarge", "transmitRaw", 0.01293182373046875
"125", "boltzmann_superLarge", "compress", 11.06220531463623
"126", "boltzmann_superLarge", "transmit", 0.0
"127", "boltzmann_superLarge", "decompress", 5.984339237213135
"128", "boltzmann_superLarge", "transmitRaw", 0.010088443756103516
"129", "boltzmann_superLarge", "compress", 11.114009618759155
"130", "boltzmann_superLarge", "transmit", 0.0074062347412109375
"131", "boltzmann_superLarge", "decompress", 6.032762289047241
"132", "boltzmann_superLarge", "transmitRaw", 0.006688117980957031
"133", "boltzmann_superLarge", "compress", 11.075155973434448
"134", "boltzmann_superLarge", "transmit", 0.010044574737548828
"135", "boltzmann_superLarge", "decompress", 6.003331422805786
"136", "boltzmann_superLarge", "transmitRaw", 0.01294088363647461
"137", "boltzmann_superLarge", "compress", 11.108337879180908
"138", "boltzmann_superLarge", "transmit", 0.005026102066040039
"139", "boltzmann_superLarge", "decompress", 6.017736196517944
"140", "boltzmann_superLarge", "transmitRaw", 0.011185407638549805
"141", "boltzmann_superLarge", "compress", 11.089146375656128
"142", "boltzmann_superLarge", "transmit", 0.0
"143", "boltzmann_superLarge", "decompress", 6.038113355636597
"144", "boltzmann_superLarge", "transmitRaw", 0.009869575500488281
"145", "boltzmann_superLarge", "compress", 11.134342193603516
"146", "boltzmann_superLarge", "transmit", 0.004505634307861328
"147", "boltzmann_superLarge", "decompress", 6.064281702041626
"148", "boltzmann_superLarge", "transmitRaw", 0.010348320007324219
"149", "boltzmann_superLarge", "compress", 11.0462064743042
"150", "boltzmann_superLarge", "transmit", 0.005014896392822266
"151", "boltzmann_superLarge", "decompress", 5.993662595748901
"152", "boltzmann_superLarge", "transmitRaw", 0.011831283569335938
"153", "boltzmann_superLarge", "compress", 11.114128828048706
"154", "boltzmann_superLarge", "transmit", 0.00960850715637207
"155", "boltzmann_superLarge", "decompress", 5.990102291107178
"156", "boltzmann_superLarge", "transmitRaw", 0.009747505187988281
"157", "boltzmann_superLarge", "compress", 11.030731678009033
"158", "boltzmann_superLarge", "transmit", 0.0053098201751708984
"159", "boltzmann_superLarge", "decompress", 5.990084886550903
"160", "largeInt_large", "transmitRaw", 0.005020856857299805
"161", "largeInt_large", "compress", 2.7969071865081787
"162", "largeInt_large", "transmit", 0.003397703170776367
"163", "largeInt_large", "decompress", 1.5395724773406982
"164", "largeInt_large", "transmitRaw", 0.003005504608154297
"165", "largeInt_large", "compress", 2.776294231414795
"166", "largeInt_large", "transmit", 0.0
"167", "largeInt_large", "decompress", 1.5245535373687744
"168", "largeInt_large", "transmitRaw", 0.0024003982543945312
"169", "largeInt_large", "compress", 2.747187376022339
"170", "largeInt_large", "transmit", 0.0009996891021728516
"171", "largeInt_large", "decompress", 1.5434813499450684
"172", "largeInt_large", "transmitRaw", 0.003000974655151367
"173", "largeInt_large", "compress", 2.7933950424194336
"174", "largeInt_large", "transmit", 0.0
"175", "largeInt_large", "decompress", 1.5479965209960938
"176", "largeInt_large", "transmitRaw", 0.0
"177", "largeInt_large", "compress", 2.7774658203125
"178", "largeInt_large", "transmit", 0.001984119415283203
